HIA,OB,p-gp inhibitor,p-gp substrates,BBB,Respiratory toxicity,Hepatotoxicity,half-life,CL,Cardiotoxicity1,Cardiotoxicity10,Cardiotoxicity30,Cardiotoxicity5,CYP1A2,CYP2C19,CYP2C9,CYP2D6,CYP3A4,Acute oral toxicity (LD50),IGC50,ESOL,logD,Caco-2 permeability,PPB,group,smiles
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1(c(CCCl)scn1)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,NC(C(=O)NC1C2CCC(=C(N2C1=O)C(=O)O)Cl)c1ccccc1
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1c(csc1)C(C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)SC12)C(=O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc2c(c1)C(c1ccccc1OC2)CCCN(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,OC1=C(O)C(=O)[C@H](O1)[C@@H](O)CO 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)(N)OC(C)C[N+](C)(C)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,OC(=O)CN1c2ccccc2CC[C@H](N[C@H](C(=O)OCC)CCc2ccccc2)C1=O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c(c(cc2c1NCNS2(=O)=O)S(=O)(=O)N)C(F)(F)F
0,,,,,,,,,,,,,,,,,,,,,,,,training,CC1(C)C(N2C(=O)CC2S1(=O)=O)C(=O)[O-] 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(ccc(c1)CCS(=O)(=O)NC)[nH]c(c2)C1CCN(CC1)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,O[C@H]1[C@H](OC2C(C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](OC)(C)C3)[C@H](C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@H](N(C)CC(C)C[C@]2(O)C)C)C)O[C@H](C)C[C@@H]1N(C)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,Nc1nc2c(ncn2[C@@H]2C[C@@H](CO)C=C2)c(N)n1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(#N)c1ccc2c(c1)COC2(c1ccc(cc1)F)CCCN(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c2c(c1)C1CCOC(CC(=O)O)(CC(=O)O)C1N2)CC 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)(C1(CCCCC1)C1CCCCC1)OCCN(CC)CC 
1,,,,,,,,,,,,,,,,,,,,,,,,training,Oc1ccc(cc1)c1c(C(=O)c2ccc(OCCN3CCCCC3)cc2)c2c(s1)cc(O)cc2 
1,,,,,,,,,,,,,,,,,,,,,,,,training,[C@@H]12Oc3c(OC)ccc4c3[C@]31CCN(C)[C@H](C4)[C@@H]3C=C[C@@H]2O
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc2c(c1)/C(=C\CCN1CCN(CC1)CCO)/c1cc(ccc1S2)C(F)(F)F
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1C)S(=O)(=O)NC(=O)NN1CC2CCCC2C1
1,,,,,,,,,,,,,,,,,,,,,,,,training,COc1ccc(cc1)C1Sc2c(cccc2)N(CCN(C)C)C(=O)C1OC(=O)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c2c(nc(c1F)N1CC3C(C3N)C1)n(c1ccc(cc1F)F)cc(c2=O)C(=O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,[C@H]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COc1ccccc1)C(=O)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,CC(C)NCC(O)COc1ccc(NC(=O)C)cc1
1,,,,,,,,,,,,,,,,,,,,,,,,training,CN(C)c1c(C)n(C)n(c1=O)c1ccccc1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(c(c1)OCC=C)OCC(CNC(C)C)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,COc1cc2c(ccnc2cc1)[C@@H](O)[C@@H]1C[C@@H]2CCN1C[C@@H]2C=C
1,,,,,,,,,,,,,,,,,,,,,,,,training,OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)[C@@H](O)C1O 
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1(csc(n1)N)/C(=N/OC)/C(=O)NC1C(=O)N2C(=C(CSC12)CSc1nc(c(CC(=O)O)s1)C)C(=O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(cc(cc1)OC)nc([nH]2)S(=O)Cc1c(c(c(cn1)C)OC)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,[C@@H]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1N)S(=O)(=O)c1ccc(cc1)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,OC(=O)[C@@H](N)Cc1cc(O)c(O)cc1
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1C(=O)c1c(cc(CC(=O)O)n1C)C)Cl 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccnc(c1)N(c1ccc(cc1)Cl)CCN(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc2c(c(c1)O)C(=C1C(=O)C3(C(=O)C(=C(C(C3C(C1C2(C)O)O)N(C)C)O)C(=O)N)O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc2c(c1)C(=C1CCN(CC1)C)c1c(cccn1)CC2 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c1[nH]c(N)nc2=O 
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)SC12)NC(=O)N1C(=O)N(CC1)S(=O)(=O)C 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C1=C(C(C(C(C1NC1C(C(C(OC1C)OC1C(C(C(OC1CO)OC1C(C(C(O)OC1CO)O)O)O)O)O)O)O)O)O)CO 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1(c[nH]c(=O)nc1N)F 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ncc1Cl)N1C(=O)c2c(C1OC(=O)N1CCN(CC1)C)nccn2
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(cnc1)C(=O)C(c1cccnc1)(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)CNNC(=O)c1cc(C)on1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)N1C(=O)C(=O)C(CCCC)N1c1ccccc1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c(c(c(c(c1OC)C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
1,,,,,,,,,,,,,,,,,,,,,,,,training,CCN1CCC[C@@H]1CNC(=O)c1cc(ccc1OC)S(=O)(=O)N
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(c(c1)CC=C)OCC(CNC(C)C)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,C#CCN(C(C)Cc1ccccc1)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,N1c2ccccc2N=c2sc(cc2=C1N1CCN(C)CC1)C 
0,,,,,,,,,,,,,,,,,,,,,,,,training,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
1,,,,,,,,,,,,,,,,,,,,,,,,training,OC(=O)C1=C(C)CSC2N1C(=O)C2NC(=O)C(N)c1ccc(O)cc1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(c1ccccc1)N1CCN(CCCn2c3ccccc3[nH]c2=O)CC1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(CCN1CCCC1)(C1CCCCC1)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CC(C)NCC(O)COc1ccc(NC(=O)C)cc1
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1/C(=C(\c1ccc(cc1)O)/CC)/CC)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1NC(=N)NC(=N)NC(C)C)Cl
1,,,,,,,,,,,,,,,,,,,,,,,,training,CCN(CC)CCC1C(CC(=O)NC1=O)c1ccccc1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c(ccnc1)C(=O)NN 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)(NC1C(C(C(CO)OC1O)O)O)N(C)N=O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C1(=O)C(C(=O)NC(=O)N1)(CC)C(C)CCC 
1,,,,,,,,,,,,,,,,,,,,,,,,training,[C@@H]12Oc3c(O)ccc4c3[C@]31CCN(C)[C@H](C4)[C@@H]3C=C[C@@H]2O
1,,,,,,,,,,,,,,,,,,,,,,,,training,C1(C(=O)N(c2ccccc2)N(c2ccc(cc2)O)C1=O)CCCC
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(cccc1)nc(c1cscn1)[nH]2 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc2c(c1)CCc1ccccc1N2CCCN(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(#N)C(c1cc(c(c(c1)OC)OC)OC)(CCCN(CCc1ccc(c(c1)OC)OC)C)C(C)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(CCN1CCCCC1)(C1CC2C=CC1C2)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc2c(c1)C=Cc1ccccc1C2CCCNC 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(cc(c1C(Cn1ccnc1)OCc1ccc(cc1Cl)Cl)Cl)Cl 
1,,,,,,,,,,,,,,,,,,,,,,,,training,Clc1ccc2n(C3CCN(CCCn4c(=O)[nH]c5ccccc45)CC3)c(=O)[nH]c2c1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc2c(c1)C(=Nc1ccccc1S2)N1CCN(CC1)CCOCCO 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1N)S(=O)(=O)Nc1cc(C)on1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1CCOC)OCC(CNC(C)C)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(c(c1)C(=O)O)Nc1c(ccc(c1Cl)C)Cl
1,,,,,,,,,,,,,,,,,,,,,,,,training,CC[C@H]1OC(=O)[C@@H](C)C(=O)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@@H](C)[C@H]2N(CCCCn3cnc(c3)c3cnccc3)C(=O)O[C@]12C)OC
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc2c(c(c1)O)CC1CC(CN(C1C2)CCC)NS(=O)(=O)N(CC)CC 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(c1cccnc1)(C(=O)N)CCN(C(C)C)C(C)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(c(c1)C1=NC(C(=O)Nc2c1cc(cc2)Cl)O)Cl 
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(c(c1)C(=O)Nc1ccc(cc1)S(=O)(=O)Nc1nccs1)C(=O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C1=[N+](CC(=Nc2c1cc(cc2)Cl)NC)[O-] 
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1(csc(n1)N)/C(=N/OC)/C(=O)NC1C(=O)N2C(=C(CSC12)CSc1nc(=O)c(nn1C)O)C(=O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1c1ccc(/C=N/N2C(=O)NC(=O)C2)o1)[N+](=O)[O-] 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)c1c[nH]c2ccccc12
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c2c(c1)NC(=O)C2)CC(NCCC)NCCC 
1,,,,,,,,,,,,,,,,,,,,,,,,training,COCCCOc1c(C)c(C[S@@](=O)c2nc3ccccc3[nH]2)ncc1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(c1ccccn1)CCN(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1c1cc(c[n+](c1c1ccc(C)nc1)[O-])Cl)S(=O)(=O)C 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)(C1CC(CCC)CN1C)NC(C(C)O)C1C(C(C(C(O1)SC)O)O)O
0,,,,,,,,,,,,,,,,,,,,,,,,training,NS(=O)(=O)c1c(Cl)cc(NCc2cccs2)c(c1)c1nnn[nH]1
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1C1(CCC1)C(CC(C)C)N(C)C)Cl 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(#N)C1(c2ccc(c(c2)OC2CCCC2)OC)CCC(C(=O)O)CC1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(c(c1)C(=O)O)OC(=O)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,OC(=O)[C@H]1N(C(=O)CP(=O)(OC(OC(=O)CC)C(C)C)CCCCc2ccccc2)C[C@@H](C1)C1CCCCC1
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1CCNC(C)C(c1ccc(cc1)O)O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C1(=O)C(CON1)N
0,,,,,,,,,,,,,,,,,,,,,,,,training,OC(COc1cccc2c1c(=O)cc(o2)C(=O)[O-])COc1c2c(=O)cc(oc2ccc1)C(=O)[O-] 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)CC(C)N 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CN1c2c(cccc2)[C@@H](NCCCCCCC(=O)O)c2c(cc(Cl)cc2)S1(=O)=O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CCCC(C)(COC(=O)N)COC(=O)N 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1C1(C(=O)NC(=O)CC1)CC)N 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C1=C(C(=O)O)OC(C(C1NC(=N)N)NC(=O)C)C(C(CO)O)O 
0,,,,,,,,,,,,,,,,,,,,,,,,training,O[C@H]1[C@H](O[C@H]2OC(=CC[C@H]2N)CN)[C@@H](N)C[C@@H](NCC)[C@@H]1O[C@H]1OC[C@@](O)(C)[C@H](NC)[C@H]1O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C1(C(=O)N(c2ccccc2)N(c2ccccc2)C1=O)CCS(=O)c1ccccc1 
0,,,,,,,,,,,,,,,,,,,,,,,,training,C(=O)([C@H](CCN)O)N[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@H]1[C@H]([C@@H]([C@H]([C@H](CO)O1)O)N)O)O)O[C@@H]1[C@H](CC[C@H](CN)O1)N)N
1,,,,,,,,,,,,,,,,,,,,,,,,training,CN(C)C(=O)Cc1c(nc2ccc(C)cn12)c1ccc(C)cc1 
0,,,,,,,,,,,,,,,,,,,,,,,,training,CN(C)C(=O)OC1=CN(C)C=C=C1
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C1(C(=O)OCCCN(CC)CC)CC2CCC1C2
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c(c(c1)Cl)Cl)C1C(=C(C)NC(=C1C(=O)OCC)C)C(=O)OC
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)CC[C@@H](C(=O)[O-])[NH2+][C@H](C(=O)N1CCC[C@H]1C(=O)[O-])CCCC[NH3+] 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C1=C2CCC3C4CCC(C(=O)CO)C4(C)CC(C3C2(C)CCC1=O)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,C#CC1(CCC2C3CCc4cc(ccc4C3CCC12C)O)O
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc2c(c1)C(=O)c1cc(ccc1OC2)CC(=O)O 
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c(c(c1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)/C(=C(/c1ccccc1)\CC)/c1ccc(cc1)OCCN(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)[C@@](OCC[C@@H]1N(C)CCC1)(c1ccc(Cl)cc1)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c2c3c1CC1C4(CCC(=O)C(C34CCN1C)O2)O)OC 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccnc(c1)NC(=O)C1=C(c2c(cc(s2)Cl)S(=O)(=O)N1C)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1c(c(ccc1S(=O)(=O)CC)OC)C(=O)NCC1CCCN1CC 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(cccc1OCC(CNC(C)C)O)[nH]cc2
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(cccc1)n(C)nc2C(=O)NC1CC2CCCC(C1)N2C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c(c(c1)C)NC(=O)NCCCNC(C)C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1C(=O)NC(C)C)CNNC
1,,,,,,,,,,,,,,,,,,,,,,,,training,CCN1CCCC1CNC(=O)c1c(OC)ccc(c1)S(=O)(=O)N 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(c1cc(ccc1O)C)CCN(C(C)C)C(C)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(cc(c(c1)OC)OC)nc(nc2N)N1CCN(C(=O)C2COc3ccccc3O2)CC1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C1(c2ccccc2)C(=O)NNC1=O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(c(c1)C1CCCC1)OCC(CNC(C)(C)C)O 
0,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(cc(c1)OC(=O)N(C)C)[N+](C)(C)C
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(C(C)NCCC(=O)c1cccc(c1)OC)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,C=CCC1(C(=C)NC(=NC1=O)O)C(C)CCC
1,,,,,,,,,,,,,,,,,,,,,,,,training,C(#N)c1ccc(cc1)C(c1ccc(C#N)cc1)n1cncn1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,CC(C)(C)NCC(O)COc1c2C[C@H](O)[C@H](O)Cc2ccc1
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(cnc1)C1CCCN1C
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(ccc1CCOCC1CC1)OCC(CNC(C)C)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,COc1cc2c(ccnc2cc1)[C@H](O)[C@H]1C[C@@H]2CCN1C[C@@H]2C=C
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)CC1=NCCN1 
1,,,,,,,,,,,,,,,,,,,,,,,,training,O/C(=C\1/N(C)S(=O)(=O)c2ccccc2C1=O)/Nc1ncc(s1)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1cc(c(c(c1CNNC(=O)C(CO)N)O)O)O 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c3cccc1C1=CC(CN(C1Cc2c[nH]3)C)NC(=O)N(CC)CC
1,,,,,,,,,,,,,,,,,,,,,,,,training,c1ccc(cc1)C(=O)c1cccc(c1)C(C(=O)O)C 
1,,,,,,,,,,,,,,,,,,,,,,,,training,c12c(c(nc(n1)N(CCO)CCO)N1CCCCC1)nc(nc2N1CCCCC1)N(CCO)CCO 
0,,,,,,,,,,,,,,,,,,,,,,,,training,OC(=O)c1cc(=O)c2c(o1)ccc(OCC(O)COc1cccc3c1c(=O)cc(o3)C(=O)O)c2
0,,,,,,,,,,,,,,,,,,,,,,,,training,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(c34)C2=C1 
